sale_id,product_id,quantity,sale_date,sale_amount
1,1,1,2023-03-23,19.99
2,2,2,2023-02-05,51.98
3,1,5,2023-01-18,99.94999999999999
4,4,1,2023-01-12,15.99
5,1,2,2023-01-04,39.98
6,1,5,2023-01-30,99.94999999999999
7,4,2,2023-01-26,31.98
8,3,1,2023-02-27,29.99
9,4,3,2023-01-21,47.97
10,2,2,2023-02-05,51.98
11,1,1,2023-02-13,19.99
12,1,3,2023-02-18,59.97
13,3,1,2023-02-14,29.99
14,1,4,2023-02-28,79.96
15,3,5,2023-01-11,149.95
16,2,1,2023-02-16,25.99
17,2,3,2023-01-06,77.97
18,2,1,2023-01-11,25.99
19,3,4,2023-02-18,119.96
20,3,2,2023-03-23,59.98
21,3,2,2023-02-17,59.98
22,3,1,2023-03-27,29.99
23,2,5,2023-03-19,129.95
24,2,4,2023-02-01,103.96
25,3,5,2023-02-18,149.95
26,3,1,2023-01-29,29.99
27,1,3,2023-01-30,59.97
28,3,1,2023-02-21,29.99
29,3,2,2023-01-28,59.98
30,4,4,2023-03-25,63.96
31,4,2,2023-03-24,31.98
32,2,2,2023-02-03,51.98
33,3,5,2023-03-13,149.95
34,4,3,2023-02-24,47.97
35,2,5,2023-01-29,129.95
36,1,1,2023-03-05,19.99
37,2,2,2023-01-15,51.98
38,4,5,2023-03-29,79.95
39,4,4,2023-01-09,63.96
40,4,5,2023-03-18,79.95
41,1,1,2023-02-02,19.99
42,3,3,2023-03-29,89.97
43,3,4,2023-01-15,119.96
44,4,1,2023-01-21,15.99
45,2,5,2023-02-03,129.95
46,3,5,2023-01-14,149.95
47,2,2,2023-03-19,51.98
48,2,5,2023-02-17,129.95
49,1,5,2023-03-09,99.94999999999999
50,4,1,2023-02-11,15.99
51,3,3,2023-01-15,89.97
52,1,2,2023-01-31,39.98
53,1,1,2023-03-14,19.99
54,1,5,2023-03-04,99.94999999999999
55,2,4,2023-01-17,103.96
56,2,3,2023-03-12,77.97
57,4,2,2023-03-09,31.98
58,2,3,2023-03-11,77.97
59,3,4,2023-02-21,119.96
60,4,1,2023-03-08,15.99
61,2,1,2023-02-01,25.99
62,1,5,2023-02-13,99.94999999999999
63,2,5,2023-03-12,129.95
64,1,1,2023-01-29,19.99
65,1,2,2023-03-22,39.98
66,1,3,2023-01-09,59.97
67,2,3,2023-01-10,77.97
68,4,2,2023-03-27,31.98
69,2,5,2023-03-11,129.95
70,4,2,2023-03-15,31.98
71,4,2,2023-03-02,31.98
72,1,4,2023-01-13,79.96
73,4,4,2023-02-15,63.96
74,1,1,2023-03-01,19.99
75,4,3,2023-01-08,47.97
76,2,2,2023-01-14,51.98
77,4,2,2023-01-25,31.98
78,2,3,2023-02-24,77.97
79,2,1,2023-03-01,25.99
80,1,1,2023-02-26,19.99
81,1,1,2023-03-25,19.99
82,2,4,2023-01-31,103.96
83,4,2,2023-03-04,31.98
84,1,2,2023-02-21,39.98
85,1,4,2023-02-18,79.96
86,4,3,2023-02-03,47.97
87,4,2,2023-02-24,31.98
88,3,2,2023-01-25,59.98
89,1,3,2023-01-08,59.97
90,1,5,2023-01-08,99.94999999999999
91,2,1,2023-03-03,25.99
92,1,2,2023-03-07,39.98
93,1,2,2023-01-09,39.98
94,1,5,2023-02-21,99.94999999999999
95,1,5,2023-02-01,99.94999999999999
96,4,5,2023-01-11,79.95
97,3,3,2023-03-14,89.97
98,3,2,2023-01-27,59.98
99,4,2,2023-02-03,31.98
100,3,4,2023-03-27,119.96
101,1,1,2023-02-10,19.99
102,1,1,2023-02-28,19.99
103,2,5,2023-03-10,129.95
104,2,3,2023-02-03,77.97
105,2,3,2023-01-09,77.97
106,2,4,2023-02-06,103.96
107,3,5,2023-03-11,149.95
108,1,5,2023-03-25,99.94999999999999
109,1,2,2023-02-08,39.98
110,1,1,2023-02-03,19.99
111,2,3,2023-03-12,77.97
112,2,3,2023-02-06,77.97
113,3,5,2023-01-27,149.95
114,3,1,2023-03-04,29.99
115,4,3,2023-01-12,47.97
116,1,3,2023-01-06,59.97
117,3,2,2023-01-17,59.98
118,4,5,2023-02-26,79.95
119,1,1,2023-01-02,19.99
120,2,5,2023-03-30,129.95
121,3,5,2023-01-05,149.95
122,2,4,2023-03-12,103.96
123,1,3,2023-01-17,59.97
124,1,3,2023-02-16,59.97
125,2,1,2023-01-27,25.99
126,4,5,2023-02-15,79.95
127,2,2,2023-01-20,51.98
128,4,1,2023-01-23,15.99
129,3,4,2023-01-23,119.96
130,2,3,2023-03-27,77.97
131,1,4,2023-01-21,79.96
132,4,2,2023-01-05,31.98
133,4,3,2023-01-26,47.97
134,2,2,2023-02-09,51.98
135,2,4,2023-01-04,103.96
136,3,1,2023-02-12,29.99
137,3,5,2023-02-05,149.95
138,3,1,2023-02-21,29.99
139,3,2,2023-01-15,59.98
140,3,1,2023-03-16,29.99
141,4,3,2023-01-14,47.97
142,4,5,2023-02-10,79.95
143,1,4,2023-03-07,79.96
144,2,3,2023-03-15,77.97
145,4,1,2023-01-06,15.99
146,2,3,2023-03-08,77.97
147,1,3,2023-02-25,59.97
148,3,1,2023-03-21,29.99
149,3,4,2023-02-08,119.96
150,4,3,2023-02-11,47.97
151,2,2,2023-03-12,51.98
152,4,2,2023-02-23,31.98
153,3,4,2023-03-20,119.96
154,1,3,2023-03-12,59.97
155,2,4,2023-02-06,103.96
156,3,4,2023-03-16,119.96
157,4,2,2023-02-26,31.98
158,4,2,2023-03-07,31.98
159,1,3,2023-03-26,59.97
160,3,1,2023-03-07,29.99
161,3,2,2023-01-31,59.98
162,2,1,2023-01-26,25.99
163,2,4,2023-01-06,103.96
164,1,4,2023-03-20,79.96
165,2,4,2023-02-23,103.96
166,4,2,2023-03-05,31.98
167,1,1,2023-01-19,19.99
168,2,2,2023-02-24,51.98
169,4,1,2023-03-31,15.99
170,2,1,2023-03-13,25.99
171,2,4,2023-02-28,103.96
172,3,4,2023-03-27,119.96
173,4,5,2023-03-20,79.95
174,2,4,2023-02-27,103.96
175,3,2,2023-02-27,59.98
176,3,5,2023-03-23,149.95
177,2,3,2023-03-04,77.97
178,1,3,2023-02-26,59.97
179,3,3,2023-01-31,89.97
180,1,2,2023-02-10,39.98
181,2,4,2023-01-20,103.96
182,2,2,2023-03-30,51.98
183,4,4,2023-01-09,63.96
184,4,4,2023-02-12,63.96
185,2,4,2023-01-08,103.96
186,1,5,2023-02-19,99.94999999999999
187,4,1,2023-02-18,15.99
188,3,4,2023-02-15,119.96
189,2,4,2023-02-23,103.96
190,3,4,2023-01-29,119.96
191,1,4,2023-03-04,79.96
192,4,2,2023-02-13,31.98
193,2,5,2023-03-01,129.95
194,1,4,2023-03-10,79.96
195,1,1,2023-03-17,19.99
196,4,2,2023-03-24,31.98
197,2,1,2023-03-01,25.99
198,4,3,2023-02-03,47.97
199,4,3,2023-01-28,47.97
200,4,3,2023-02-13,47.97
201,3,1,2023-02-23,29.99
202,1,5,2023-03-02,99.94999999999999
203,3,2,2023-01-07,59.98
204,1,1,2023-03-25,19.99
205,2,2,2023-01-04,51.98
206,2,2,2023-01-03,51.98
207,4,1,2023-01-17,15.99
208,2,4,2023-03-14,103.96
209,3,3,2023-03-31,89.97
210,1,2,2023-01-22,39.98
211,1,5,2023-02-09,99.94999999999999
212,3,5,2023-01-04,149.95
213,4,4,2023-03-28,63.96
214,1,5,2023-01-26,99.94999999999999
215,2,1,2023-03-30,25.99
216,3,5,2023-03-31,149.95
217,1,3,2023-01-16,59.97
218,4,3,2023-03-10,47.97
219,3,1,2023-01-09,29.99
220,4,1,2023-02-23,15.99
221,3,4,2023-02-25,119.96
222,4,2,2023-01-20,31.98
223,3,5,2023-03-08,149.95
224,4,4,2023-03-10,63.96
225,3,3,2023-02-25,89.97
226,1,3,2023-02-01,59.97
227,2,4,2023-02-27,103.96
228,4,3,2023-03-14,47.97
229,4,3,2023-01-04,47.97
230,4,2,2023-01-24,31.98
231,3,3,2023-02-15,89.97
232,3,5,2023-02-05,149.95
